Order_ID,Customer_ID,Shipment_ID,Customer_rating,Cost_of_the_Product,Discount_offered,Weight_in_gms,Reached_on_Time_Y_N
1,1000,S500,2,177,44,1233,1
2,1001,S501,5,216,59,3088,1
3,1002,S502,2,183,48,3374,1
4,1003,S503,3,176,10,1177,1
5,1000,S504,2,184,46,2484,1
6,1004,S505,1,162,12,1417,1
7,1005,S506,4,250,3,2371,1
8,1006,S501,1,233,48,2804,1
9,1005,S507,4,150,11,1861,1
10,1000,S503,2,164,29,1187,1
11,1007,S508,4,189,12,2888,1
12,1008,S509,5,232,32,3253,1
13,1008,S510,5,198,1,3667,1
14,1009,S511,4,275,29,2602,1
15,1010,S512,3,152,43,1009,1
16,1011,S513,3,227,45,2707,1
17,1012,S508,4,143,6,1194,1
18,1013,S514,5,227,36,3952,1
19,1013,S515,5,239,18,2495,1
20,1013,S516,5,145,45,1059,1
21,1014,S517,3,161,38,1521,1
22,1015,S518,1,232,51,2899,1
23,1001,S519,5,156,2,1750,1
24,1010,S520,3,211,12,3922,1
25,1016,S521,5,251,28,3561,1
26,1017,S522,1,225,29,3496,1
27,1004,S523,1,172,24,1066,1
28,1018,S524,1,162,31,1435,1
29,1003,S519,3,234,44,3134,1
30,1012,S525,4,183,36,3819,1
31,1012,S526,4,266,38,2741,1
32,1014,S525,3,257,61,3341,1
33,1004,S527,1,223,22,3795,1
34,1019,S528,2,234,4,3261,1
35,1020,S529,2,227,22,2460,1
36,1005,S514,4,149,44,1811,1
37,1021,S530,5,137,62,1477,1
38,1022,S531,4,181,16,3605,1
39,1015,S532,1,215,56,3905,1
40,1023,S533,2,269,45,2383,1
41,1024,S534,1,227,15,3798,1
42,1025,S514,5,139,61,1265,1
43,1001,S526,5,137,38,1647,1
44,1024,S522,1,174,44,1556,1
45,1024,S527,1,151,29,1328,1
46,1004,S535,1,210,9,2944,1
47,1026,S536,4,169,32,1245,1
48,1024,S525,1,160,32,1576,1
49,1007,S537,4,190,9,3753,1
50,1011,S525,3,216,40,2146,1
51,1018,S538,1,183,37,2042,1
52,1009,S533,4,141,22,1735,1
53,1011,S539,3,165,44,1320,1
54,1018,S540,1,170,41,1128,1
55,1010,S541,3,203,12,3539,1
56,1027,S540,5,246,46,2437,1
57,1011,S527,3,238,61,3096,1
58,1011,S518,3,193,29,3453,1
59,1013,S542,5,141,41,1367,1
60,1004,S520,1,150,17,1923,1
61,1004,S543,1,221,64,2794,1
62,1010,S544,3,179,52,1158,1
63,1028,S545,1,105,62,1292,1
64,1018,S518,1,177,61,1880,1
65,1001,S546,5,261,49,3045,1
66,1019,S522,2,202,49,2881,1
67,1000,S526,2,109,15,1710,1
68,1011,S522,3,158,6,1878,1
69,1020,S547,2,231,6,2512,1
70,1013,S518,5,206,39,2929,1
71,1017,S542,1,187,14,3849,1
72,1016,S525,5,230,2,2229,1
73,1008,S537,5,232,33,2998,1
74,1008,S516,5,215,21,3984,1
75,1029,S548,1,238,13,2442,1
76,1004,S533,1,266,23,3775,1
77,1014,S549,3,158,36,1788,1
78,1011,S522,3,113,43,1518,1
79,1009,S543,4,223,18,3959,1
80,1016,S544,5,257,56,3711,1
81,1012,S517,4,180,49,1942,1
82,1013,S550,5,132,18,1759,1
83,1005,S546,4,217,26,2875,1
84,1008,S551,5,162,31,1364,1
85,1016,S521,5,197,40,2710,1
86,1009,S544,4,197,13,2148,1
87,1024,S538,1,185,44,2910,1
88,1000,S552,2,278,3,2974,1
89,1010,S553,3,229,49,2339,1
90,1015,S516,1,186,57,3880,1
91,1030,S515,3,174,41,1085,1
92,1008,S525,5,286,18,3163,1
93,1012,S547,4,175,7,1188,1
94,1011,S518,3,219,17,3387,1
95,1015,S546,1,213,35,2343,1
96,1010,S540,3,235,57,2034,1
97,1031,S526,3,149,18,1225,1
98,1006,S516,1,271,8,2401,1
99,1025,S517,5,144,5,1104,1
100,1032,S528,2,145,21,1617,1
101,1031,S554,3,143,59,1837,1
102,1025,S525,5,227,53,2624,1
103,1018,S555,1,213,29,2732,1
104,1017,S525,1,144,37,1658,1
105,1010,S527,3,218,3,2255,1
106,1019,S528,2,144,59,1588,1
107,1018,S553,1,238,17,2624,1
108,1013,S520,5,216,26,2053,1
109,1008,S541,5,238,55,3257,1
110,1018,S516,1,141,47,1250,1
111,1024,S556,1,158,2,1284,1
112,1000,S557,2,239,65,3679,1
113,1031,S558,3,175,25,1816,1
114,1019,S559,2,263,41,2817,1
115,1001,S560,5,168,50,1616,1
116,1009,S561,4,176,36,1779,1
117,1017,S562,1,150,60,1024,1
118,1014,S563,3,265,31,2326,1
119,1008,S564,5,263,5,2947,1
120,1018,S565,1,145,20,1387,1
121,1000,S566,2,183,33,2741,1
122,1011,S567,3,205,19,2167,1
123,1019,S568,2,160,64,1714,1
124,1014,S569,3,252,48,2102,1
125,1013,S570,5,222,10,2280,1
126,1031,S559,3,203,25,3607,1
127,1013,S571,5,220,40,3516,1
128,1033,S559,3,147,60,1722,1
129,1034,S572,4,200,16,2060,1
130,1025,S563,5,224,21,2026,1
131,1016,S573,5,179,17,1364,1
132,1009,S559,4,144,50,1865,1
133,1019,S574,2,247,17,3889,1
134,1022,S575,4,280,51,3582,1
135,1014,S576,3,168,1,1829,1
136,1008,S503,5,157,4,1889,1
137,1033,S508,3,189,51,2208,1
138,1001,S505,5,162,7,1739,1
